City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,rezh,57.37,61.4043,-4.47,85,100,3.41,RU,1698516757
126,punta arenas,-53.15,-70.9167,6.73,42,100,1.28,CL,1698516645
127,baruun-urt,46.6806,113.2792,6.4,40,95,3.35,MN,1698516758
128,pangody,65.85,74.4859,-9.26,95,95,3.98,RU,1698516758
129,jinhua,29.1078,119.6547,16.44,88,35,1.26,CN,1698516758
130,usinsk,65.9939,57.5281,-12.18,91,33,1.34,RU,1698516758
131,kailua-kona,19.6406,-155.9956,28.06,72,0,2.06,US,1698516758
132,winslow,35.0242,-110.6974,21.1,30,20,6.69,US,1698516494
133,caldwell,43.6629,-116.6874,5.64,49,0,6.17,US,1698516759
134,kingston,17.997,-76.7936,30.69,65,25,0.6,JM,1698516746
135,new norfolk,-42.7826,147.0587,9.72,76,79,1.48,AU,1698516759
136,tadine,-21.55,167.8833,21.72,86,1,5.13,NC,1698516759
137,polohy,47.4844,36.2536,14.45,53,0,7.72,UA,1698516760
138,quesnel,52.9999,-122.5029,-5.72,73,0,1.03,CA,1698516760
139,ulan bator,47.9077,106.8832,-0.93,69,40,4.0,MN,1698516760
140,'ain boucif,35.8912,3.1585,17.77,51,99,1.36,DZ,1698516760
141,rio grande,-32.035,-52.0986,28.06,88,92,2.39,BR,1698516524
142,pisco,-13.7,-76.2167,22.03,73,20,5.14,PE,1698516676
143,virar,19.4667,72.8,29.05,50,4,2.24,IN,1698516761
144,ciudad lazaro cardenas,17.9583,-102.2,29.5,67,98,1.18,MX,1698516761
145,alta,69.9689,23.2717,-6.41,82,34,3.6,NO,1698516761
146,uniao,-4.5858,-42.8642,42.62,14,22,2.99,BR,1698516761
147,puerto san jose,13.9256,-90.8244,29.36,70,59,5.37,GT,1698516762
148,visby,57.6409,18.296,3.23,70,100,2.57,SE,1698516762
149,port mathurin,-19.6833,63.4167,24.58,79,6,3.79,MU,1698516762
150,horta,38.5333,-28.6333,18.34,69,40,6.69,PT,1698516762
151,kapa'a,22.0752,-159.319,24.99,83,0,3.6,US,1698516762
152,caucete,-31.6518,-68.2811,35.57,5,1,5.1,AR,1698516762
153,sao jose da laje,-9.0097,-36.0583,29.93,45,100,6.96,BR,1698516763
154,saipan,15.1355,145.701,27.39,94,20,2.06,MP,1698516763
155,ulladulla,-35.35,150.4667,5.43,76,50,2.74,AU,1698516763
